Merk,Merk,Prijs,Aantal,Prijs per stuk
AMERICAN SPIRIT FILTER BLAUW 19,AMERICAN SPIRIT,6,19,"0,316"
AMERICAN SPIRIT FILTER GEEL 19,AMERICAN SPIRIT,6,19,"0,316"
AMERICAN SPIRIT FILTER GROEN 19,AMERICAN SPIRIT,6,19,"0,316"
AMERICAN SPIRIT FILTER ORANJE 19,AMERICAN SPIRIT,6,19,"0,316"
BASTOS ROOD FILTER 25,Bastos,6,25,"0,24"
BELINDA GROEN 24,BELINDA,"7,5",24,"0,313"
BELINDA ORANJE 24,BELINDA,"7,5",24,"0,313"
BELINDA S.K. ORANJE 25,BELINDA,"7,8",25,"0,312"
BELINDA S.K. ORANJE 25,BELINDA,"7,8",25,"0,312"
BELINDA S.K.GROEN 25,BELINDA,"7,8",25,"0,312"
BENSON & HEDGES BLACK SLIDE BOX 19,BENSON & HEDGES,"5,4",19,"0,284"
BENSON & HEDGES GOLD 20,BENSON & HEDGES,"6,2",20,"0,31"
BENSON & HEDGES SILVER SLIDE BOX 19,BENSON & HEDGES,"5,4",19,"0,284"
BLACK DEVIL FINEST FLAVOUR CHOCO BOX 19,BLACK DEVIL,6,19,"0,316"
BLACK DEVIL SPECIAL FLAVOUR VANILLE BOX 19,BLACK DEVIL,6,19,"0,316"
CABALERO BOX 22,CABALERO,"6,5",22,"0,295"
CABALERO ZONDER FILTER 25,CABALERO,"7,6",25,"0,304"
CABALLERO FILTER BOX 27,CABALERO,"7,7",27,"0,285"
CAMEL ACTIVATE BOX BLAUW 19,CAMEL,"5,5",19,"0,289"
CAMEL ACTIVATE BOX WHITE 19,CAMEL,"5,5",19,"0,289"
CAMEL BLACK BOX 19,CAMEL,"5,5",19,"0,289"
CAMEL BLACK BOX 19,CAMEL,"5,5",19,"0,289"
CAMEL BLAUW BOX XXL 27,CAMEL,"7,5",27,"0,278"
CAMEL BOX 19,CAMEL,"5,5",19,"0,289"
CAMEL BOX BLAUW 19,CAMEL,"5,5",19,"0,289"
CAMEL BOX BLAUW L 22,CAMEL,"6,5",22,"0,295"
CAMEL BOX L 22,CAMEL,"6,5",22,"0,295"
CAMEL BOX ORANJE 19,CAMEL,"5,5",19,"0,289"
CAMEL BOX ORANJE L 22,CAMEL,"6,5",22,"0,295"
CAMEL BOX XXL 27,CAMEL,"7,5",27,"0,278"
CAMEL OPTION BOX 19,CAMEL,"5,5",19,"0,289"
CAMEL WHITE BOX 19,CAMEL,"5,5",19,"0,289"
CAMEL ZONDER FILTER 25,CAMEL,"7,6",25,"0,304"
CHE BOX 20 STUKS,CHE,6,20,"0,3"
CHE BOX 20 STUKS,CHE,6,20,"0,3"
CHESTERFIELD BLUE BOX 23,CHESTERFIELD,"6,5",23,"0,283"
CHESTERFIELD CLASSIC RED BOX 19,CHESTERFIELD,"5,8",19,"0,305"
CHESTERFIELD RED BOX 23,CHESTERFIELD,"6,5",23,"0,283"
CHESTERFIELD RED BOX 29,CHESTERFIELD,8,29,"0,276"
DAVIDOFF BLUE BOX 19,DAVIDOFF,"6,2",19,"0,326"
DAVIDOFF CLASSIC BOX 19,DAVIDOFF,"6,2",19,"0,326"
DAVIDOFF GOLD BOX 19,DAVIDOFF,"6,2",19,"0,326"
DAVIDOFF GROEN BOX 19,DAVIDOFF,"6,2",19,"0,326"
DJARUM BLACK FILTER 10 STUKS,DJARUM,"4,2",19,"0,221"
DJARUM SUPER BOX 10,DJARUM,"4,2",10,"0,42"
DJARUM VANILLE 10 STUKS,DJARUM,"4,2",19,"0,221"
DUNHILL BOX ROOD 19,DUNHILL,"6,2",19,"0,326"
DUNHILL BOX ROOD 19,DUNHILL,"6,2",19,"0,326"
DUNHILL INTERNATIONAL,DUNHILL,7,22,"0,318"
ELIXYR BLAUW BOX 27,ELIXYR,"5,92",27,"0,219"
ELIXYR GROEN BOX 22,ELIXYR,"6,2",22,"0,282"
ELIXYR GROEN BOX 27,ELIXYR,"7,4",27,"0,274"
ELIXYR RED BOX 22,ELIXYR,"6,2",22,"0,282"
ELIXYR RED BOX 27,ELIXYR,"7,4",27,"0,274"
ESSE BLUE SPUPERSLIMS,ESSE,"5,7",19,"0,3"
ESSE SUPERSLIM BOX 20,ESSE,"5,7",20,"0,285"
EVA SLIMS BLUE BOX 20,EVA,"5,7",20,"0,285"
EVA SLIMS MENTHOL BOX 19,EVA,"5,5",19,"0,289"
EVA SLIMS ROZE BOX 20,EVA,"5,7",20,"0,285"
EVA SLIMS YELLOW BOX 20,EVA,"5,7",20,"0,285"
EVA SLIMS YELLOW BOX 20,EVA,"5,7",20,"0,285"
